id,customized_loan_no,loan_application_no,branch_id,samity_id,product_id,interest_rate_id,member_id,purpose_id,interest_calculation_method,loan_amount,interest_rate,interest_rate_index,interest_amount,interest_amount_without_roundup,discount_interest_amount,insurance_guarantor_percentage,insurance_amount,total_payable_amount,number_of_installment,installment_amount,repayment_frequency,loan_period_in_month,loan_period_in_day,mode_of_interest,cycle,loan_type,first_repayment_date,is_interest_charged_if_last_repay_date_exceeds,is_authorized,disbursed_by,disburse_date,authorized_by,authorization_date,fully_paid_amount,is_loan_fully_paid,loan_fully_paid_date,current_status,loan_closing_date,loan_closing_info_verified_by,is_migrated,opening_loan_outstanding_amount,extra_installment_amount,original_loan_id,transfer_in_date,transfer_out_date,payment_type,bank_head_id,cheque_no,note,additinal_fee,loan_proposal_form_id,parent_loan_id,loan_form_fee,folio_number,member_age,last_schedule_date,disburse_phase,loan_commencement_date,law_suit,cut_off_date,audit_fee,insert_time,update_time,loan_initiator_id,loan_approver_employee_id,loan_insurance_type,sales_invoice_no,ussd_code
3198,SME-001-001-001-3,0,2,326,ME-W,10,994,Agricultural tools,F,100000,14.3,0,14300,0,,,1000,114300,45,2500,W,12,16,H,3,R,7/9/2014,,1,22,6/23/2014,22,6/23/2014,100000,1,4/6/2019,0,4/6/2019,22,1,107810,15.22,3198,,,0,0,0,0,0,0,,0,0,38,5/20/2015,,,0,,0,1/13/2020 21:40,,,0,0,,
3222,SME-001-001-002-1,0,2,326,ME-W,10,999,Banana cultivation,F,70000,14.3,0,10010,0,,,700,80010,45,1750,W,12,17,H,1,R,2/20/2013,,1,22,2/3/2013,22,2/3/2013,70000,1,4/6/2019,0,4/6/2019,22,1,7747,10.65,3222,,,0,0,0,0,0,0,,0,,42,1/1/2014,,,0,,0,1/13/2020 21:40,,,0,0,,
3227,SME-001-001-003-1,0,2,326,ME-W,10,1006,Betel leaf cultivation,F,50000,14.3,0,7150,0,,,500,57150,45,1250,W,12,20,H,1,R,8/15/2012,,1,22,7/26/2012,22,7/26/2012,50000,1,4/6/2019,0,4/6/2019,22,1,13345,7.61,3227,,,0,0,0,0,0,0,,0,,42,6/26/2013,,,0,,0,1/13/2020 21:40,,,0,0,,
3295,SME-001-001-006-1,0,2,326,ME-W,10,1025,Cow fattening,F,70000,14.3,0,10010,0,,,700,80010,45,1750,W,12,21,H,1,R,2/26/2014,,1,22,2/5/2014,22,2/5/2014,70000,1,4/6/2019,0,4/6/2019,22,1,26618,10.65,3295,,,0,0,0,0,0,0,,0,,40,1/7/2015,,,0,,0,1/13/2020 21:40,,,0,0,,
3304,SME-001-001-007-1,0,2,326,ME-W,10,1029,Dairy firm,F,100000,14.3,0,14300,0,,,1000,114300,45,2500,W,12,15,H,1,R,2/11/2015,,1,22,1/27/2015,22,1/27/2015,100000,1,11/30/2021,0,11/30/2021,22,1,44210,15.22,3304,,,0,0,0,0,0,0,,0,,39,1/13/2016,,,0,,0,1/13/2020 21:40,12/13/2021 20:34,,0,0,,
3312,SME-001-001-008-1,0,2,326,ME-W,10,1031,Fish farming,F,500000,14.3,0,11440,0,,,800,91440,45,2000,W,12,17,H,1,R,2/4/2015,,1,22,1/18/2015,22,1/18/2015,80000,1,11/30/2021,0,11/30/2021,22,1,47448,12.17,3312,,,0,0,0,0,0,0,,0,,39,1/6/2016,,,0,,0,1/13/2020 21:40,12/13/2021 20:38,,0,0,,
3315,SME-001-001-009-1,0,2,326,ME-W,10,1034,Guava garden,F,80000,14.3,0,11440,0,,,800,91440,45,2000,W,12,15,H,1,R,3/11/2015,,1,22,2/24/2015,22,2/24/2015,80000,1,11/30/2021,0,11/30/2021,22,1,67948,12.17,3315,,,0,0,0,0,0,0,,0,,41,2/10/2016,,,0,,0,1/13/2020 21:40,12/13/2021 20:38,,0,0,,
3327,SME-001-001-011-1,0,2,326,ME-W,10,1041,Litchi garden,F,200000,14.3,0,28600,0,,,2000,228600,45,5000,W,12,16,H,1,R,12/3/2014,,1,22,11/17/2014,22,11/17/2014,200000,1,4/6/2019,0,4/6/2019,22,1,62354,30.43,3327,,,0,0,0,0,0,0,,0,,38,10/28/2015,,,0,,0,1/13/2020 21:40,,,0,0,,
3333,SME-001-001-012-1,0,2,326,ME-W,10,1046,Mango orchard,F,80000,14.3,0,11440,0,,,800,91440,45,2000,W,12,21,H,1,R,5/8/2013,,1,22,4/17/2013,22,4/17/2013,80000,1,4/6/2019,0,4/6/2019,22,1,55058,12.17,3333,,,0,0,0,0,0,0,,0,,39,3/19/2014,,,0,,0,1/13/2020 21:40,,,0,0,,
3336,SME-001-001-013-1,0,2,326,ME-W,12,1051,Nursary,F,50000,12,0,6000,0,,,500,56000,45,1250,W,12,21,H,1,R,9/17/2008,,1,22,8/27/2008,22,8/27/2008,50000,1,4/6/2019,0,4/6/2019,22,1,23436,5.56,3336,,,0,0,0,0,0,0,,0,,34,7/22/2009,,,0,,0,1/13/2020 21:40,,,0,0,,
3338,SME-001-001-014-1,0,2,326,ME-W,s,1054,Others agriculture,F,200000,14.3,0,28600,0,,,2000,228600,45,5000,W,12,15,H,1,R,12/12/2012,,1,22,11/27/2012,22,7/23/2012,200000,1,4/6/2019,0,4/6/2019,22,1,89730,30.43,3338,,,0,0,0,0,0,0,,0,,42,10/23/2013,,,0,,0,1/13/2020 21:40,,,0,0,,
3339,SME-001-001-015-1,0,2,326,ME-W,10,1057,Paddy cultivation,F,120000,14.3,0,17160,0,,,1200,137160,45,3000,W,12,15,H,1,R,8/7/2013,,1,22,7/23/2013,22,7/23/2013,120000,1,4/6/2019,0,4/6/2019,22,1,42411,18.26,3339,,,0,0,0,0,0,0,,0,,37,6/18/2014,,,0,,0,1/13/2020 21:40,,,0,0,,
3341,SME-001-001-016-1,0,2,326,ME-W,10,1060,Plum cultivation,F,120000,14.3,0,17160,0,,,1200,137160,45,3000,W,12,15,H,1,R,8/7/2013,,1,22,7/23/2013,22,7/23/2013,120000,1,4/6/2019,0,4/6/2019,22,1,38682,18.26,3341,,,0,0,0,0,0,0,,0,,45,6/18/2014,,,0,,0,1/13/2020 21:40,,,0,0,,
3343,SME-001-001-017-1,0,2,326,ME-W,10,1062,Poltry firm,F,70000,14.3,0,10010,0,,,700,80010,45,1750,W,12,16,H,1,R,10/3/2012,,1,22,9/17/2012,22,9/17/2012,70000,1,4/6/2019,0,4/6/2019,22,1,37127,10.65,3343,,,0,0,0,0,0,0,,0,,38,8/14/2013,,,0,,0,1/13/2020 21:40,,,0,0,,
3345,SME-001-001-018-1,0,2,326,ME-W,10,1067,Potato cultivation,F,100000,14.3,0,14300,0,,,1000,114300,45,2500,W,12,18,H,1,R,12/5/2012,,1,22,11/17/2012,22,11/17/2012,100000,1,4/6/2019,0,4/6/2019,22,1,64520,15.22,3345,,,0,0,0,0,0,0,,0,,36,10/16/2013,,,0,,0,1/13/2020 21:40,,,0,0,,
