id,customized_loan_no,loan_application_no,branch_id,samity_id,product_id,interest_rate_id,member_id,purpose_id,interest_calculation_method,loan_amount,interest_rate,interest_rate_index,interest_amount,interest_amount_without_roundup,discount_interest_amount,insurance_guarantor_percentage,insurance_amount,total_payable_amount,number_of_installment,installment_amount,repayment_frequency,loan_period_in_month,loan_period_in_day,mode_of_interest,cycle,loan_type,first_repayment_date,is_interest_charged_if_last_repay_date_exceeds,is_authorized,disbursed_by,disburse_date,authorized_by,authorization_date,fully_paid_amount,is_loan_fully_paid,loan_fully_paid_date,current_status,loan_closing_date,loan_closing_info_verified_by,is_migrated,opening_loan_outstanding_amount,extra_installment_amount,original_loan_id,transfer_in_date,transfer_out_date,payment_type,bank_head_id,cheque_no,note,additinal_fee,loan_proposal_form_id,parent_loan_id,loan_form_fee,folio_number,member_age,last_schedule_date,disburse_phase,loan_commencement_date,law_suit,cut_off_date,audit_fee,insert_time,update_time,loan_initiator_id,loan_approver_employee_id,loan_insurance_type,sales_invoice_no,ussd_code
1,APON-030-001-0002-03,1,34,1823,3,3,001-001-007,25,D,15000,24,0,1890,0,0,,150,16890,46,375,W,12,30,H,3,R,12/12/2020,,1,1,11/22/2020,1,11/22/2020,16890,1,9/11/2021,0,9/11/2021,,1,7125,7.37,1,,,CASH,,,,0,,,5,,48,12/4/2021,,,0,,0,8/1/2021 12:06,9/15/2021 14:13,,0,0,,
2,APON-030-001-0003-06,1,34,1823,3,3,001-001-008,25,D,40000,24,0,5040,0,0,,400,45040,46,1000,W,12,30,H,6,R,1/9/2021,,1,1,12/22/2020,1,12/22/2020,45040,1,10/23/2021,0,10/23/2021,,1,21520,19.66,2,,,CASH,,,,0,,,5,,27,1/1/2022,,,0,,0,8/1/2021 12:06,10/24/2021 16:50,,0,0,,
3,APON-030-001-0007-18,1,34,1823,3,3,001-001-009,25,D,60000,24,0,7560,0,0,,600,67560,46,1500,W,12,30,H,18,R,12/12/2020,,1,1,11/23/2020,1,11/23/2020,67560,1,10/30/2021,0,10/30/2021,,1,29760,29.49,3,,,CASH,,,,0,,,5,,38,12/4/2021,,,0,,0,8/1/2021 12:06,10/30/2021 18:45,,0,0,,
4,APON-030-001-0010-02,1,34,1823,3,3,4,25,D,40000,24,0,5040,0,0,,400,45040,46,1000,W,12,30,H,2,R,3/20/2021,,1,1,3/6/2021,1,3/6/2021,45040,1,4/2/2022,0,4/2/2022,,1,30760,19.66,4,,,CASH,,,,0,,,5,,38,3/12/2022,,,0,,0,8/1/2021 12:06,4/2/2022 19:44,,0,0,,
5,APON-030-001-0015-15,1,34,1823,3,3,7,1,D,30000,24,0,3780,0,0,,300,33780,46,750,W,12,30,H,15,R,10/17/2020,,1,1,9/30/2020,1,9/30/2020,33780,1,10/30/2021,0,10/30/2021,,1,9390,14.75,5,,,CASH,,,,0,,,5,,41,10/9/2021,,,0,,0,8/1/2021 12:06,10/30/2021 18:45,,0,0,,
6,APON-030-001-0016-03,1,34,1823,3,3,8,1,D,20000,24,0,2520,0,0,,200,22520,46,500,W,12,30,H,3,R,12/12/2020,,1,1,11/22/2020,1,11/22/2020,22520,1,11/6/2021,0,11/6/2021,,1,9500,9.83,6,,,CASH,,,,0,,,5,,54,12/4/2021,,,0,,0,8/1/2021 12:06,11/13/2021 14:45,,0,0,,
7,APON-030-001-0020-10,1,34,1823,3,3,9,25,D,60000,24,0,7560,0,0,,600,67560,46,1500,W,12,30,H,10,R,1/9/2021,,1,1,12/21/2020,1,12/21/2020,67560,1,10/30/2021,0,10/30/2021,,1,33540,29.49,7,,,CASH,,,,0,,,5,,39,1/1/2022,,,0,,0,8/1/2021 12:06,10/30/2021 18:45,,0,0,,
8,APON-030-001-0021-14,1,34,1823,3,3,10,25,D,49000,24,0,6174,0,0,,490,55174,46,1225,W,12,30,H,14,R,9/5/2020,,1,1,8/22/2020,1,8/22/2020,55174,1,8/14/2021,0,8/14/2021,,1,8281,24.09,8,,,CASH,,,,0,,,5,,33,8/28/2021,,,0,,0,8/1/2021 12:06,8/30/2021 13:06,,0,0,,
9,APON-030-001-0024-11,1,34,1823,3,3,12,1,D,30000,24,0,3780,0,0,,300,33780,46,750,W,12,30,H,11,R,9/12/2020,,1,1,8/26/2020,1,8/26/2020,33780,1,8/7/2021,0,8/7/2021,,1,5520,14.75,9,,,CASH,,,,0,,,5,,41,9/4/2021,,,0,,0,8/1/2021 12:06,9/15/2021 14:13,,0,0,,
10,APON-030-002-0031-19,1,34,1824,3,3,14,25,D,40000,24,0,5040,0,0,,400,45040,46,1000,W,12,30,H,19,R,4/10/2021,,1,1,3/14/2021,1,3/14/2021,45040,1,4/9/2022,0,4/9/2022,,1,31600,19.66,10,,,CASH,,,,0,,,5,,56,4/9/2022,,,0,,0,8/1/2021 12:06,4/9/2022 18:33,,0,0,,
